id;startdate;enddate;status;employee;cause;startdatetype;enddatetype;duration;type;comments;document
1218;2020-01-02;2020-01-02;3;34;;Morning;Afternoon;1;1;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-02""}]}";
1219;2020-01-02;2020-01-02;3;16;;Morning;Afternoon;1;6;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-02""}]}";
1220;2020-01-02;2020-01-02;3;9;;Morning;Afternoon;1;6;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-02""}]}";
1221;2020-01-02;2020-01-02;3;19;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-02""}]}";
1222;2020-01-02;2020-01-02;3;29;;Morning;Afternoon;1;6;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-02""}]}";
1223;2020-01-02;2020-01-02;3;33;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-02""}]}";
1224;2020-01-02;2020-01-02;3;35;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-02""}]}";
1225;2020-01-02;2020-01-02;3;41;;Morning;Afternoon;1;6;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-02""}]}";
1226;2020-01-02;2020-01-02;3;53;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-02""}]}";
1227;2020-01-03;2020-01-03;3;34;;Morning;Afternoon;1;1;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-03""}]}";
1228;2020-01-03;2020-01-03;3;16;;Morning;Afternoon;1;6;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-03""}]}";
1229;2020-01-03;2020-01-03;3;9;;Morning;Afternoon;1;6;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-03""}]}";
1230;2020-01-03;2020-01-03;3;29;;Morning;Afternoon;1;6;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-03""}]}";
1231;2020-01-03;2020-01-03;3;41;;Morning;Afternoon;1;6;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-03""}]}";
1232;2020-01-03;2020-01-03;3;42;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-03""}]}";
1233;2020-01-03;2020-01-03;3;53;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-03""}]}";
1234;2020-01-06;2020-01-06;3;16;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-06""}]}";
1235;2020-01-06;2020-01-06;3;19;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-06""}]}";
1236;2020-01-06;2020-01-06;3;33;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-06""}]}";
1237;2020-01-06;2020-01-06;3;35;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-06""}]}";
1238;2020-01-06;2020-01-06;3;42;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-06""}]}";
1239;2020-01-07;2020-01-07;3;16;;Morning;Afternoon;1;1;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-07""}]}";
1240;2020-01-07;2020-01-07;3;32;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-07""}]}";
1241;2020-01-07;2020-01-07;3;42;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-07""}]}";
1242;2020-01-07;2020-01-07;3;53;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-07""}]}";
1243;2020-01-08;2020-01-08;3;42;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-08""}]}";
1244;2020-01-13;2020-01-13;3;27;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-13""}]}";
1245;2020-01-13;2020-01-13;3;29;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-13""}]}";
1246;2020-01-13;2020-01-13;3;32;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-13""}]}";
1247;2020-01-13;2020-01-13;3;33;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-13""}]}";
1248;2020-01-13;2020-01-13;3;35;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-13""}]}";
1249;2020-01-13;2020-01-13;3;51;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-13""}]}";
1250;2020-01-14;2020-01-14;3;19;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-14""}]}";
1251;2020-01-14;2020-01-14;3;26;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-14""}]}";
1252;2020-01-14;2020-01-14;3;27;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-14""}]}";
1253;2020-01-14;2020-01-14;3;33;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-14""}]}";
1254;2020-01-14;2020-01-14;3;35;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-14""}]}";
1255;2020-01-14;2020-01-14;3;52;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-14""}]}";
1256;2020-01-15;2020-01-15;3;8;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-15""}]}";
1257;2020-01-17;2020-01-17;3;8;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-17""}]}";
1258;2020-01-17;2020-01-17;3;14;;Morning;Afternoon;1;6;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-17""}]}";
1259;2020-01-20;2020-01-20;3;14;;Morning;Afternoon;1;6;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-20""}]}";
