id;startdate;enddate;status;employee;cause;startdatetype;enddatetype;duration;type;comments;document
2523;2020-01-02;2020-01-02;3;23;;Morning;Afternoon;1;1;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-02""}]}";
2524;2020-01-02;2020-01-02;3;39;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-02""}]}";
2525;2020-01-03;2020-01-03;3;3;;Morning;Afternoon;1;1;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-03""}]}";
2526;2020-01-03;2020-01-03;3;39;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-03""}]}";
2527;2020-01-03;2020-01-03;3;55;;Morning;Afternoon;1;4;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-03""}]}";
2528;2020-01-07;2020-01-07;3;50;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-07""}]}";
2529;2020-01-07;2020-01-07;3;48;;Morning;Afternoon;1;4;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-07""}]}";
2530;2020-01-08;2020-01-08;3;48;;Morning;Afternoon;1;4;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-08""}]}";
2531;2020-01-10;2020-01-10;3;21;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-10""}]}";
2532;2020-01-13;2020-01-13;3;22;;Morning;Afternoon;1;1;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-13""}]}";
2533;2020-01-13;2020-01-13;3;56;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-13""}]}";
2534;2020-01-14;2020-01-14;3;7;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-14""}]}";
2535;2020-01-14;2020-01-14;3;13;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-14""}]}";
2536;2020-01-14;2020-01-14;3;21;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-14""}]}";
2537;2020-01-15;2020-01-15;3;17;;Morning;Afternoon;1;1;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-15""}]}";
2538;2020-01-15;2020-01-15;3;39;;Morning;Afternoon;1;4;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-15""}]}";
2539;2020-01-16;2020-01-16;3;39;;Morning;Afternoon;1;4;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-16""}]}";
2540;2020-01-17;2020-01-17;3;11;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-17""}]}";
2541;2020-01-17;2020-01-17;3;22;;Morning;Afternoon;1;1;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-17""}]}";
2542;2020-01-17;2020-01-17;3;39;;Morning;Afternoon;1;4;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-17""}]}";
2543;2020-01-17;2020-01-17;3;43;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-17""}]}";
2544;2020-01-17;2020-01-17;3;44;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-17""}]}";
2545;2020-01-20;2020-01-20;3;11;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-20""}]}";
2546;2020-01-20;2020-01-20;3;50;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-20""}]}";
2547;2020-01-21;2020-01-21;3;6;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-21""}]}";
2548;2020-01-21;2020-01-21;3;13;;Morning;Afternoon;1;1;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-21""}]}";
2549;2020-01-22;2020-01-22;3;34;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-22""}]}";
2550;2020-01-22;2020-01-22;3;10;;Morning;Afternoon;1;4;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-22""}]}";
2551;2020-01-23;2020-01-23;3;34;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-23""}]}";
2552;2020-01-23;2020-01-23;3;3;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-23""}]}";
2553;2020-01-23;2020-01-23;3;10;;Morning;Afternoon;1;4;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-23""}]}";
2554;2020-01-23;2020-01-23;3;21;;Morning;Afternoon;1;1;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-23""}]}";
2555;2020-01-23;2020-01-23;3;23;;Morning;Afternoon;1;4;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-23""}]}";
2556;2020-01-24;2020-01-24;3;34;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-24""}]}";
2557;2020-01-24;2020-01-24;3;3;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-24""}]}";
2558;2020-01-24;2020-01-24;3;36;;Morning;Afternoon;1;1;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-24""}]}";
2559;2020-01-27;2020-01-27;3;34;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-27""}]}";
2560;2020-01-27;2020-01-27;3;3;;Morning;Afternoon;1;1;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-27""}]}";
2561;2020-01-27;2020-01-27;3;50;;Morning;Afternoon;1;4;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-27""}]}";
2562;2020-01-27;2020-01-27;3;43;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-27""}]}";
2563;2020-01-27;2020-01-27;3;44;;Morning;Afternoon;1;1;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-27""}]}";
2564;2020-01-28;2020-01-28;3;34;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-28""}]}";
2565;2020-01-28;2020-01-28;3;3;;Morning;Afternoon;1;4;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-28""}]}";
2566;2020-01-28;2020-01-28;3;21;;Morning;Afternoon;1;1;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-28""}]}";
2567;2020-01-28;2020-01-28;3;39;;Morning;Afternoon;1;4;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-28""}]}";
2568;2020-01-29;2020-01-29;3;34;;Morning;Afternoon;1;1;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-29""}]}";
2569;2020-01-29;2020-01-29;3;3;;Morning;Afternoon;1;4;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2020-01-29""}]}";
