id,contract,employee,overtime,startdate,enddate,type,days,description
811,,2,,2021-01-01,2021-06-30,6,15,Carried Forward Leave
812,,4,,2021-01-01,2021-06-30,6,17,Carried Forward Leave
813,,5,,2021-01-01,2021-06-30,6,14,Carried Forward Leave
814,,6,,2021-01-01,2021-06-30,6,7,Carried Forward Leave
815,,7,,2021-01-01,2021-06-30,6,12,Carried Forward Leave
816,,8,,2021-01-01,2021-06-30,6,15,Carried Forward Leave
817,,9,,2021-01-01,2021-06-30,6,10.5,Carried Forward Leave
818,,11,,2021-01-01,2021-06-30,6,12,Carried Forward Leave
819,,12,,2021-01-01,2021-06-30,6,15,Carried Forward Leave
820,,13,,2021-01-01,2021-06-30,6,13,Carried Forward Leave
821,,14,,2021-01-01,2021-06-30,6,13,Carried Forward Leave
822,,15,,2021-01-01,2021-06-30,6,15,Carried Forward Leave
823,,16,,2021-01-01,2021-06-30,6,4,Carried Forward Leave
824,,17,,2021-01-01,2021-06-30,6,10,Carried Forward Leave
825,,18,,2021-01-01,2021-06-30,6,17,Carried Forward Leave
826,,19,,2021-01-01,2021-06-30,6,0,Carried Forward Leave
827,,20,,2021-01-01,2021-06-30,6,14,Carried Forward Leave
828,,22,,2021-01-01,2021-06-30,6,5,Carried Forward Leave
829,,23,,2021-01-01,2021-06-30,6,8,Carried Forward Leave
830,,24,,2021-01-01,2021-06-30,6,7,Carried Forward Leave
831,,25,,2021-01-01,2021-06-30,6,11,Carried Forward Leave
832,,26,,2021-01-01,2021-06-30,6,9,Carried Forward Leave
833,,27,,2021-01-01,2021-06-30,6,11,Carried Forward Leave
834,,28,,2021-01-01,2021-06-30,6,11,Carried Forward Leave
835,,29,,2021-01-01,2021-06-30,6,11,Carried Forward Leave
836,,30,,2021-01-01,2021-06-30,6,6,Carried Forward Leave
837,,31,,2021-01-01,2021-06-30,6,8,Carried Forward Leave
838,,32,,2021-01-01,2021-06-30,6,1,Carried Forward Leave
839,,33,,2021-01-01,2021-06-30,6,9,Carried Forward Leave
840,,35,,2021-01-01,2021-06-30,6,6,Carried Forward Leave
841,,36,,2021-01-01,2021-06-30,6,6,Carried Forward Leave
842,,37,,2021-01-01,2021-06-30,6,11,Carried Forward Leave
843,,38,,2021-01-01,2021-06-30,6,15,Carried Forward Leave
844,,39,,2021-01-01,2021-06-30,6,9,Carried Forward Leave
845,,40,,2021-01-01,2021-06-30,6,9,Carried Forward Leave
846,,41,,2021-01-01,2021-06-30,6,7,Carried Forward Leave
847,,43,,2021-01-01,2021-06-30,6,11,Carried Forward Leave
848,,45,,2021-01-01,2021-06-30,6,11,Carried Forward Leave
849,,46,,2021-01-01,2021-06-30,6,11,Carried Forward Leave
850,,47,,2021-01-01,2021-06-30,6,7,Carried Forward Leave
851,,48,,2021-01-01,2021-06-30,6,5.5,Carried Forward Leave
852,,49,,2021-01-01,2021-06-30,6,11,Carried Forward Leave
853,,50,,2021-01-01,2021-06-30,6,10,Carried Forward Leave
854,,51,,2021-01-01,2021-06-30,6,11,Carried Forward Leave
855,,52,,2021-01-01,2021-06-30,6,10,Carried Forward Leave
856,,53,,2021-01-01,2021-06-30,6,3,Carried Forward Leave
857,,54,,2021-01-01,2021-06-30,6,10,Carried Forward Leave
858,,55,,2021-01-01,2021-06-30,6,7,Carried Forward Leave
859,,56,,2021-01-01,2021-06-30,6,11,Carried Forward Leave
860,,57,,2021-01-01,2021-06-30,6,8,Carried Forward Leave
861,,58,,2021-01-01,2021-06-30,6,10,Carried Forward Leave
862,,59,,2021-01-01,2021-06-30,6,5,Carried Forward Leave
863,,60,,2021-01-01,2021-06-30,6,6,Carried Forward Leave
864,,61,,2021-01-01,2021-06-30,6,7,Carried Forward Leave
