id;name;startentdate;endentdate;weekly_duration;daily_duration;default_leave_type
1;FTE-M-1-1;01/01;12/31;2400;480;1
2;FTE-M-1-3;01/01;12/31;2400;480;1
3;FTE-M-1-5;01/01;12/31;2400;480;1
4;FTE-M-2-1;01/01;12/31;2400;480;1
5;FTE-M-2-3;01/01;12/31;2400;480;1
6;FTE-M-2-5;01/01;12/31;2400;480;1
7;FTE-M-3-1;01/01;12/31;2400;480;1
8;FTE-M-3-3;01/01;12/31;2400;480;1
9;FTE-M-3-5;01/01;12/31;2400;480;1
10;FTE-F-1-1;01/01;12/31;2400;480;1
11;FTE-F-1-3;01/01;12/31;2400;480;1
12;FTE-F-1-5;01/01;12/31;2400;480;1
13;FTE-F-2-1;01/01;12/31;2400;480;1
14;FTE-F-2-3;01/01;12/31;2400;480;1
15;FTE-F-2-5;01/01;12/31;2400;480;1
16;FTE-F-3-1;01/01;12/31;2400;480;1
17;FTE-F-3-3;01/01;12/31;2400;480;1
18;FTE-F-3-5;01/01;12/31;2400;480;1
