id;contract;employee;overtime;startdate;enddate;type;days;description
1;1;;;2019-01-01;2019-12-31;1;16;Annual Paid Leave
2;1;;;2019-01-01;2019-12-31;3;2;Paternity Leave
3;1;;;2019-01-01;2019-12-31;4;12;Sick Leave
4;1;;;2019-01-01;2019-12-31;7;2;Compensionate Leave
5;1;;;2019-01-01;2019-12-31;8;3;Marriage Leave - own
6;1;;;2019-01-01;2019-12-31;9;2;Marriage Leave - dependant
7;1;;;2019-01-01;2019-12-31;10;2;Children Circumcision
8;1;;;2019-01-01;2019-12-31;11;2;Children Baptism
9;1;;;2019-01-01;2019-12-31;12;30;Pilgirm
10;2;;;2019-01-01;2019-12-31;1;18;Annual Paid Leave
11;2;;;2019-01-01;2019-12-31;3;2;Paternity Leave
12;2;;;2019-01-01;2019-12-31;4;12;Sick Leave
13;2;;;2019-01-01;2019-12-31;7;2;Compensionate Leave
14;2;;;2019-01-01;2019-12-31;8;3;Marriage Leave - own
15;2;;;2019-01-01;2019-12-31;9;2;Marriage Leave - dependant
16;2;;;2019-01-01;2019-12-31;10;2;Children Circumcision
17;2;;;2019-01-01;2019-12-31;11;2;Children Baptism
18;2;;;2019-01-01;2019-12-31;12;30;Pilgirm
19;3;;;2019-01-01;2019-12-31;1;20;Annual Paid Leave
20;3;;;2019-01-01;2019-12-31;3;2;Paternity Leave
21;3;;;2019-01-01;2019-12-31;4;12;Sick Leave
22;3;;;2019-01-01;2019-12-31;7;2;Compensionate Leave
23;3;;;2019-01-01;2019-12-31;8;3;Marriage Leave - own
24;3;;;2019-01-01;2019-12-31;9;2;Marriage Leave - dependant
25;3;;;2019-01-01;2019-12-31;10;2;Children Circumcision
26;3;;;2019-01-01;2019-12-31;11;2;Children Baptism
27;3;;;2019-01-01;2019-12-31;12;30;Pilgirm
28;4;;;2019-01-01;2019-12-31;1;14;Annual Paid Leave
29;4;;;2019-01-01;2019-12-31;3;2;Paternity Leave
30;4;;;2019-01-01;2019-12-31;4;12;Sick Leave
31;4;;;2019-01-01;2019-12-31;7;2;Compensionate Leave
32;4;;;2019-01-01;2019-12-31;8;3;Marriage Leave - own
33;4;;;2019-01-01;2019-12-31;9;2;Marriage Leave - dependant
34;4;;;2019-01-01;2019-12-31;10;2;Children Circumcision
35;4;;;2019-01-01;2019-12-31;11;2;Children Baptism
36;4;;;2019-01-01;2019-12-31;12;30;Pilgirm
37;5;;;2019-01-01;2019-12-31;1;16;Annual Paid Leave
38;5;;;2019-01-01;2019-12-31;3;2;Paternity Leave
39;5;;;2019-01-01;2019-12-31;4;12;Sick Leave
40;5;;;2019-01-01;2019-12-31;7;2;Compensionate Leave
41;5;;;2019-01-01;2019-12-31;8;3;Marriage Leave - own
42;5;;;2019-01-01;2019-12-31;9;2;Marriage Leave - dependant
43;5;;;2019-01-01;2019-12-31;10;2;Children Circumcision
44;5;;;2019-01-01;2019-12-31;11;2;Children Baptism
45;5;;;2019-01-01;2019-12-31;12;30;Pilgirm
46;6;;;2019-01-01;2019-12-31;1;18;Annual Paid Leave
47;6;;;2019-01-01;2019-12-31;3;2;Paternity Leave
48;6;;;2019-01-01;2019-12-31;4;12;Sick Leave
49;6;;;2019-01-01;2019-12-31;7;2;Compensionate Leave
50;6;;;2019-01-01;2019-12-31;8;3;Marriage Leave - own
51;6;;;2019-01-01;2019-12-31;9;2;Marriage Leave - dependant
52;6;;;2019-01-01;2019-12-31;10;2;Children Circumcision
53;6;;;2019-01-01;2019-12-31;11;2;Children Baptism
54;6;;;2019-01-01;2019-12-31;12;30;Pilgirm
55;7;;;2019-01-01;2019-12-31;1;12;Annual Paid Leave
56;7;;;2019-01-01;2019-12-31;3;2;Paternity Leave
57;7;;;2019-01-01;2019-12-31;4;12;Sick Leave
58;7;;;2019-01-01;2019-12-31;7;2;Compensionate Leave
59;7;;;2019-01-01;2019-12-31;8;3;Marriage Leave - own
60;7;;;2019-01-01;2019-12-31;9;2;Marriage Leave - dependant
61;7;;;2019-01-01;2019-12-31;10;2;Children Circumcision
62;7;;;2019-01-01;2019-12-31;11;2;Children Baptism
63;7;;;2019-01-01;2019-12-31;12;30;Pilgirm
64;8;;;2019-01-01;2019-12-31;1;14;Annual Paid Leave
65;8;;;2019-01-01;2019-12-31;3;2;Paternity Leave
66;8;;;2019-01-01;2019-12-31;4;12;Sick Leave
67;8;;;2019-01-01;2019-12-31;7;2;Compensionate Leave
68;8;;;2019-01-01;2019-12-31;8;3;Marriage Leave - own
69;8;;;2019-01-01;2019-12-31;9;2;Marriage Leave - dependant
70;8;;;2019-01-01;2019-12-31;10;2;Children Circumcision
71;8;;;2019-01-01;2019-12-31;11;2;Children Baptism
72;8;;;2019-01-01;2019-12-31;12;30;Pilgirm
73;9;;;2019-01-01;2019-12-31;1;16;Annual Paid Leave
74;9;;;2019-01-01;2019-12-31;3;2;Paternity Leave
75;9;;;2019-01-01;2019-12-31;4;12;Sick Leave
76;9;;;2019-01-01;2019-12-31;7;2;Compensionate Leave
77;9;;;2019-01-01;2019-12-31;8;3;Marriage Leave - own
78;9;;;2019-01-01;2019-12-31;9;2;Marriage Leave - dependant
79;9;;;2019-01-01;2019-12-31;10;2;Children Circumcision
80;9;;;2019-01-01;2019-12-31;11;2;Children Baptism
81;9;;;2019-01-01;2019-12-31;12;30;Pilgirm
82;10;;;2019-01-01;2019-12-31;1;16;Annual Paid Leave
83;10;;;2019-01-01;2019-12-31;2;90;Maternity Leave
84;10;;;2019-01-01;2019-12-31;4;12;Sick Leave
85;10;;;2019-01-01;2019-12-31;7;2;Compensionate Leave
86;10;;;2019-01-01;2019-12-31;8;3;Marriage Leave - own
87;10;;;2019-01-01;2019-12-31;9;2;Marriage Leave - dependant
88;10;;;2019-01-01;2019-12-31;10;2;Children Circumcision
89;10;;;2019-01-01;2019-12-31;11;2;Children Baptism
90;10;;;2019-01-01;2019-12-31;12;30;Pilgirm
91;11;;;2019-01-01;2019-12-31;1;18;Annual Paid Leave
92;11;;;2019-01-01;2019-12-31;2;90;Maternity Leave
93;11;;;2019-01-01;2019-12-31;4;12;Sick Leave
94;11;;;2019-01-01;2019-12-31;7;2;Compensionate Leave
95;11;;;2019-01-01;2019-12-31;8;3;Marriage Leave - own
96;11;;;2019-01-01;2019-12-31;9;2;Marriage Leave - dependant
97;11;;;2019-01-01;2019-12-31;10;2;Children Circumcision
98;11;;;2019-01-01;2019-12-31;11;2;Children Baptism
99;11;;;2019-01-01;2019-12-31;12;30;Pilgirm
100;12;;;2019-01-01;2019-12-31;1;20;Annual Paid Leave
101;12;;;2019-01-01;2019-12-31;2;90;Maternity Leave
102;12;;;2019-01-01;2019-12-31;4;12;Sick Leave
103;12;;;2019-01-01;2019-12-31;7;2;Compensionate Leave
104;12;;;2019-01-01;2019-12-31;8;3;Marriage Leave - own
105;12;;;2019-01-01;2019-12-31;9;2;Marriage Leave - dependant
106;12;;;2019-01-01;2019-12-31;10;2;Children Circumcision
107;12;;;2019-01-01;2019-12-31;11;2;Children Baptism
108;12;;;2019-01-01;2019-12-31;12;30;Pilgirm
109;13;;;2019-01-01;2019-12-31;1;14;Annual Paid Leave
110;13;;;2019-01-01;2019-12-31;2;90;Maternity Leave
111;13;;;2019-01-01;2019-12-31;4;12;Sick Leave
112;13;;;2019-01-01;2019-12-31;7;2;Compensionate Leave
113;13;;;2019-01-01;2019-12-31;8;3;Marriage Leave - own
114;13;;;2019-01-01;2019-12-31;9;2;Marriage Leave - dependant
115;13;;;2019-01-01;2019-12-31;10;2;Children Circumcision
116;13;;;2019-01-01;2019-12-31;11;2;Children Baptism
117;13;;;2019-01-01;2019-12-31;12;30;Pilgirm
118;14;;;2019-01-01;2019-12-31;1;16;Annual Paid Leave
119;14;;;2019-01-01;2019-12-31;2;90;Maternity Leave
120;14;;;2019-01-01;2019-12-31;4;12;Sick Leave
121;14;;;2019-01-01;2019-12-31;7;2;Compensionate Leave
122;14;;;2019-01-01;2019-12-31;8;3;Marriage Leave - own
123;14;;;2019-01-01;2019-12-31;9;2;Marriage Leave - dependant
124;14;;;2019-01-01;2019-12-31;10;2;Children Circumcision
125;14;;;2019-01-01;2019-12-31;11;2;Children Baptism
126;14;;;2019-01-01;2019-12-31;12;30;Pilgirm
127;15;;;2019-01-01;2019-12-31;1;18;Annual Paid Leave
128;15;;;2019-01-01;2019-12-31;2;90;Maternity Leave
129;15;;;2019-01-01;2019-12-31;4;12;Sick Leave
130;15;;;2019-01-01;2019-12-31;7;2;Compensionate Leave
131;15;;;2019-01-01;2019-12-31;8;3;Marriage Leave - own
132;15;;;2019-01-01;2019-12-31;9;2;Marriage Leave - dependant
133;15;;;2019-01-01;2019-12-31;10;2;Children Circumcision
134;15;;;2019-01-01;2019-12-31;11;2;Children Baptism
135;15;;;2019-01-01;2019-12-31;12;30;Pilgirm
136;16;;;2019-01-01;2019-12-31;1;12;Annual Paid Leave
137;16;;;2019-01-01;2019-12-31;2;90;Maternity Leave
138;16;;;2019-01-01;2019-12-31;4;12;Sick Leave
139;16;;;2019-01-01;2019-12-31;7;2;Compensionate Leave
140;16;;;2019-01-01;2019-12-31;8;3;Marriage Leave - own
141;16;;;2019-01-01;2019-12-31;9;2;Marriage Leave - dependant
142;16;;;2019-01-01;2019-12-31;10;2;Children Circumcision
143;16;;;2019-01-01;2019-12-31;11;2;Children Baptism
144;16;;;2019-01-01;2019-12-31;12;30;Pilgirm
145;17;;;2019-01-01;2019-12-31;1;14;Annual Paid Leave
146;17;;;2019-01-01;2019-12-31;2;90;Maternity Leave
