id;startdate;enddate;status;employee;cause;startdatetype;enddatetype;duration;type;comments;document
1;2019-01-02;2019-01-02;3;4;;Morning;Afternoon;1;1;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2019-01-02""}]}";
2;2019-01-02;2019-01-02;3;16;;Morning;Afternoon;1;1;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2019-01-02""}]}";
3;2019-01-02;2019-01-02;3;20;;Morning;Afternoon;1;1;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2019-01-02""}]}";
4;2019-01-02;2019-01-02;3;29;;Morning;Afternoon;1;1;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2019-01-02""}]}";
5;2019-01-02;2019-01-02;3;31;;Morning;Afternoon;1;1;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2019-01-02""}]}";
6;2019-01-02;2019-01-02;3;33;;Morning;Afternoon;1;1;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2019-01-02""}]}";
7;2019-01-02;2019-01-02;3;42;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2019-01-02""}]}";
8;2019-01-03;2019-01-03;3;4;;Morning;Afternoon;1;1;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2019-01-03""}]}";
9;2019-01-03;2019-01-03;3;17;;Morning;Afternoon;1;1;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2019-01-03""}]}";
10;2019-01-03;2019-01-03;3;20;;Morning;Afternoon;1;1;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2019-01-03""}]}";
11;2019-01-03;2019-01-03;3;21;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2019-01-03""}]}";
12;2019-01-03;2019-01-03;3;29;;Morning;Afternoon;1;1;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2019-01-03""}]}";
13;2019-01-03;2019-01-03;3;33;;Morning;Afternoon;1;1;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2019-01-03""}]}";
14;2019-01-04;2019-01-04;3;3;;Morning;Afternoon;1;5;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2019-01-04""}]}";
15;2019-01-04;2019-01-04;3;4;;Morning;Afternoon;1;1;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2019-01-04""}]}";
16;2019-01-04;2019-01-04;3;5;;Morning;Afternoon;1;1;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2019-01-04""}]}";
17;2019-01-04;2019-01-04;3;16;;Morning;Afternoon;1;1;"{""comments"":[{""type"":""change"",""status_number"":3,""date"":""2019-01-04""}]}";
